algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_2block,-11,9,0,12,12.793116569519043
tfmf_2block_k2,-11,9,0,15,12.832636833190918
tfmf_2block_k4,-11,9,0,4,12.898365020751953
tfmf_2block_k7,-11,9,0,9,12.898113250732422
sq_det,-11,10,0,0,3.4031667709350586
tfmf_1block,-11,10,0,14,12.746935844421387
tfmf_2block,-11,10,0,13,12.793116569519043
tfmf_2block_k2,-11,10,0,11,12.832636833190918
tfmf_2block_k4,-11,10,0,2,12.898365020751953
tfmf_2block_k7,-11,10,0,6,12.898113250732422
sq_det,-11,11,0,0,3.4031667709350586
tfmf_1block,-11,11,0,17,12.746935844421387
tfmf_2block,-11,11,0,10,12.793116569519043
tfmf_2block_k2,-11,11,0,12,12.832636833190918
tfmf_2block_k4,-11,11,0,8,12.898365020751953
tfmf_2block_k7,-11,11,0,16,12.898113250732422
sq_det,-11,12,0,0,3.4031667709350586
tfmf_1block,-11,12,0,6,12.746935844421387
tfmf_2block,-11,12,0,16,12.793116569519043
tfmf_2block_k2,-11,12,0,14,12.832636833190918
tfmf_2block_k4,-11,12,0,8,12.898365020751953
tfmf_2block_k7,-11,12,0,9,12.898113250732422
sq_det,-11,13,0,0,3.4031667709350586
tfmf_1block,-11,13,0,14,12.746935844421387
tfmf_2block,-11,13,0,11,12.793116569519043
tfmf_2block_k2,-11,13,0,12,12.832636833190918
tfmf_2block_k4,-11,13,0,8,12.898365020751953
tfmf_2block_k7,-11,13,0,8,12.898113250732422
sq_det,-11,14,0,1,3.4031667709350586
tfmf_1block,-11,14,0,16,12.746935844421387
tfmf_2block,-11,14,0,16,12.793116569519043
tfmf_2block_k2,-11,14,0,7,12.832636833190918
tfmf_2block_k4,-11,14,0,6,12.898365020751953
tfmf_2block_k7,-11,14,0,6,12.898113250732422
sq_det,-11,15,0,0,3.4031667709350586
tfmf_1block,-11,15,0,8,12.746935844421387
tfmf_2block,-11,15,0,12,12.793116569519043
tfmf_2block_k2,-11,15,0,12,12.832636833190918
tfmf_2block_k4,-11,15,0,15,12.898365020751953
tfmf_2block_k7,-11,15,0,8,12.898113250732422
sq_det,-11,16,0,0,3.4031667709350586
tfmf_1block,-11,16,0,13,12.746935844421387
tfmf_2block,-11,16,0,14,12.793116569519043
tfmf_2block_k2,-11,16,0,12,12.832636833190918
tfmf_2block_k4,-11,16,0,11,12.898365020751953
tfmf_2block_k7,-11,16,0,6,12.898113250732422
sq_det,-11,17,0,0,3.4031667709350586
tfmf_1block,-11,17,0,9,12.746935844421387
tfmf_2block,-11,17,0,11,12.793116569519043
