algorithm,snr_db,trial,detected,n_candidates,threshold
sq_det,-10,32,1,12,2.304680824279785
tfmf_1block,-10,32,0,13,12.746935844421387
tfmf_2block,-10,32,0,16,12.793116569519043
sq_det,-10,33,1,9,2.304680824279785
tfmf_1block,-10,33,0,7,12.746935844421387
tfmf_2block,-10,33,0,9,12.793116569519043
sq_det,-10,34,0,10,2.304680824279785
tfmf_1block,-10,34,0,6,12.746935844421387
tfmf_2block,-10,34,0,7,12.793116569519043
sq_det,-10,35,1,12,2.304680824279785
tfmf_1block,-10,35,0,11,12.746935844421387
tfmf_2block,-10,35,0,9,12.793116569519043
sq_det,-10,36,1,14,2.304680824279785
tfmf_1block,-10,36,0,18,12.746935844421387
tfmf_2block,-10,36,0,12,12.793116569519043
sq_det,-10,37,0,14,2.304680824279785
tfmf_1block,-10,37,0,17,12.746935844421387
tfmf_2block,-10,37,0,14,12.793116569519043
sq_det,-10,38,0,15,2.304680824279785
tfmf_1block,-10,38,0,15,12.746935844421387
tfmf_2block,-10,38,0,10,12.793116569519043
sq_det,-10,39,0,9,2.304680824279785
tfmf_1block,-10,39,0,7,12.746935844421387
tfmf_2block,-10,39,0,12,12.793116569519043
sq_det,-10,40,1,7,2.304680824279785
tfmf_1block,-10,40,0,14,12.746935844421387
tfmf_2block,-10,40,0,9,12.793116569519043
sq_det,-10,41,1,6,2.304680824279785
tfmf_1block,-10,41,0,10,12.746935844421387
tfmf_2block,-10,41,0,15,12.793116569519043
sq_det,-10,42,0,5,2.304680824279785
tfmf_1block,-10,42,0,12,12.746935844421387
tfmf_2block,-10,42,0,18,12.793116569519043
sq_det,-10,43,0,9,2.304680824279785
tfmf_1block,-10,43,0,14,12.746935844421387
tfmf_2block,-10,43,0,17,12.793116569519043
sq_det,-10,44,0,10,2.304680824279785
tfmf_1block,-10,44,0,13,12.746935844421387
tfmf_2block,-10,44,0,11,12.793116569519043
sq_det,-10,45,0,7,2.304680824279785
tfmf_1block,-10,45,0,14,12.746935844421387
tfmf_2block,-10,45,0,13,12.793116569519043
sq_det,-10,46,0,10,2.304680824279785
tfmf_1block,-10,46,0,14,12.746935844421387
tfmf_2block,-10,46,0,7,12.793116569519043
sq_det,-10,47,1,7,2.304680824279785
tfmf_1block,-10,47,0,8,12.746935844421387
tfmf_2block,-10,47,0,7,12.793116569519043
sq_det,-10,48,0,7,2.304680824279785
tfmf_1block,-10,48,0,14,12.746935844421387
tfmf_2block,-10,48,0,3,12.793116569519043
sq_det,-10,49,0,11,2.304680824279785
tfmf_1block,-10,49,0,18,12.746935844421387
tfmf_2block,-10,49,0,9,12.793116569519043
sq_det,-9,0,1,11,2.304680824279785
tfmf_1block,-9,0,0,13,12.746935844421387
tfmf_2block,-9,0,0,11,12.793116569519043
sq_det,-9,1,0,13,2.304680824279785
tfmf_1block,-9,1,0,15,12.746935844421387
tfmf_2block,-9,1,0,11,12.793116569519043
sq_det,-9,2,1,13,2.304680824279785
tfmf_1block,-9,2,0,18,12.746935844421387
tfmf_2block,-9,2,0,13,12.793116569519043
sq_det,-9,3,0,10,2.304680824279785
tfmf_1block,-9,3,0,11,12.746935844421387
tfmf_2block,-9,3,0,11,12.793116569519043
sq_det,-9,4,1,11,2.304680824279785
tfmf_1block,-9,4,0,18,12.746935844421387
tfmf_2block,-9,4,0,11,12.793116569519043
sq_det,-9,5,0,5,2.304680824279785
tfmf_1block,-9,5,0,13,12.746935844421387
tfmf_2block,-9,5,0,10,12.793116569519043
sq_det,-9,6,1,9,2.304680824279785
tfmf_1block,-9,6,0,12,12.746935844421387
tfmf_2block,-9,6,0,14,12.793116569519043
sq_det,-9,7,1,7,2.304680824279785
tfmf_1block,-9,7,0,15,12.746935844421387
tfmf_2block,-9,7,0,10,12.793116569519043
sq_det,-9,8,0,7,2.304680824279785
tfmf_1block,-9,8,0,10,12.746935844421387
tfmf_2block,-9,8,0,15,12.793116569519043
sq_det,-9,9,0,10,2.304680824279785
tfmf_1block,-9,9,0,12,12.746935844421387
tfmf_2block,-9,9,0,12,12.793116569519043
sq_det,-9,10,1,9,2.304680824279785
tfmf_1block,-9,10,0,12,12.746935844421387
tfmf_2block,-9,10,0,12,12.793116569519043
sq_det,-9,11,0,9,2.304680824279785
tfmf_1block,-9,11,0,9,12.746935844421387
tfmf_2block,-9,11,0,6,12.793116569519043
sq_det,-9,12,1,9,2.304680824279785
tfmf_1block,-9,12,0,15,12.746935844421387
tfmf_2block,-9,12,0,13,12.793116569519043
sq_det,-9,13,1,8,2.304680824279785
tfmf_1block,-9,13,0,10,12.746935844421387
tfmf_2block,-9,13,0,9,12.793116569519043
sq_det,-9,14,1,7,2.304680824279785
tfmf_1block,-9,14,0,13,12.746935844421387
tfmf_2block,-9,14,0,12,12.793116569519043
sq_det,-9,15,0,17,2.304680824279785
tfmf_1block,-9,15,0,15,12.746935844421387
tfmf_2block,-9,15,0,6,12.793116569519043
sq_det,-9,16,0,7,2.304680824279785
tfmf_1block,-9,16,0,11,12.746935844421387
tfmf_2block,-9,16,0,13,12.793116569519043
sq_det,-9,17,1,8,2.304680824279785
tfmf_1block,-9,17,0,15,12.746935844421387
