depth,snr_db,trial,truth_msg,decoded_msg,correct
2,-6,24,CQ K1JT FN20,,0
1,-6,25,CQ K1JT FN20,,0
2,-6,25,CQ K1JT FN20,,0
1,-6,26,CQ K1JT FN20,,0
2,-6,26,CQ K1JT FN20,,0
1,-6,27,CQ K1JT FN20,,0
2,-6,27,CQ K1JT FN20,,0
1,-6,28,CQ K1JT FN20,,0
2,-6,28,CQ K1JT FN20,,0
1,-6,29,CQ K1JT FN20,,0
2,-6,29,CQ K1JT FN20,,0
1,-5,0,CQ K1JT FN20,,0
2,-5,0,CQ K1JT FN20,,0
1,-5,1,CQ K1JT FN20,,0
2,-5,1,CQ K1JT FN20,,0
1,-5,2,CQ K1JT FN20,,0
2,-5,2,CQ K1JT FN20,,0
1,-5,3,CQ K1JT FN20,,0
2,-5,3,CQ K1JT FN20,,0
1,-5,4,CQ K1JT FN20,,0
2,-5,4,CQ K1JT FN20,,0
1,-5,5,CQ K1JT FN20,,0
2,-5,5,CQ K1JT FN20,,0
1,-5,6,CQ K1JT FN20,,0
2,-5,6,CQ K1JT FN20,,0
1,-5,7,CQ K1JT FN20,,0
2,-5,7,CQ K1JT FN20,,0
1,-5,8,CQ K1JT FN20,,0
2,-5,8,CQ K1JT FN20,,0
1,-5,9,CQ K1JT FN20,,0
2,-5,9,CQ K1JT FN20,,0
1,-5,10,CQ K1JT FN20,,0
2,-5,10,CQ K1JT FN20,,0
1,-5,11,CQ K1JT FN20,,0
2,-5,11,CQ K1JT FN20,,0
1,-5,12,CQ K1JT FN20,,0
2,-5,12,CQ K1JT FN20,,0
1,-5,13,CQ K1JT FN20,,0
2,-5,13,CQ K1JT FN20,,0
1,-5,14,CQ K1JT FN20,,0
2,-5,14,CQ K1JT FN20,,0
1,-5,15,CQ K1JT FN20,,0
2,-5,15,CQ K1JT FN20,,0
1,-5,16,CQ K1JT FN20,,0
2,-5,16,CQ K1JT FN20,,0
1,-5,17,CQ K1JT FN20,,0
2,-5,17,CQ K1JT FN20,,0
1,-5,18,CQ K1JT FN20,,0
2,-5,18,CQ K1JT FN20,,0
1,-5,19,CQ K1JT FN20,,0
2,-5,19,CQ K1JT FN20,,0
1,-5,20,CQ K1JT FN20,,0
2,-5,20,CQ K1JT FN20,,0
1,-5,21,CQ K1JT FN20,,0
2,-5,21,CQ K1JT FN20,,0
1,-5,22,CQ K1JT FN20,,0
2,-5,22,CQ K1JT FN20,,0
1,-5,23,CQ K1JT FN20,,0
2,-5,23,CQ K1JT FN20,,0
1,-5,24,CQ K1JT FN20,,0
2,-5,24,CQ K1JT FN20,,0
1,-5,25,CQ K1JT FN20,,0
2,-5,25,CQ K1JT FN20,,0
1,-5,26,CQ K1JT FN20,,0
2,-5,26,CQ K1JT FN20,,0
1,-5,27,CQ K1JT FN20,,0
2,-5,27,CQ K1JT FN20,,0
1,-5,28,CQ K1JT FN20,,0
2,-5,28,CQ K1JT FN20,,0
1,-5,29,CQ K1JT FN20,,0
2,-5,29,CQ K1JT FN20,,0
1,-4,0,CQ K1JT FN20,,0
2,-4,0,CQ K1JT FN20,,0
1,-4,1,CQ K1JT FN20,,0
2,-4,1,CQ K1JT FN20,,0
1,-4,2,CQ K1JT FN20,,0
2,-4,2,CQ K1JT FN20,,0
1,-4,3,CQ K1JT FN20,,0
2,-4,3,CQ K1JT FN20,,0
1,-4,4,CQ K1JT FN20,,0
2,-4,4,CQ K1JT FN20,,0
1,-4,5,CQ K1JT FN20,,0
2,-4,5,CQ K1JT FN20,,0
